French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
demande,request
genre,kind
laisser,let
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
